Nombre,Tipo de dato,Default Task,Atributos,Instancias,Numero de atributos
Corel Image Features,Multivariate , ,Real ,68040 ,89 
E. Coli Genes,Relational , , , , 
EEG Database,"Multivariate, Time-Series ", ,"Categorical, Integer, Real ",122 ,4 
El Nino,Spatio-temporal , ,"Integer, Real ",178080 ,12 
Entree Chicago Recommendation Data,"Transactional, Sequential ",Recommender-Systems ,Categorical ,50672 , 
CMU Face Images,Image ,Classification ,Integer ,640 , 
Insurance Company Benchmark (COIL 2000),Multivariate ,"Regression, Description ","Categorical, Integer ",9000 ,86 
Internet Usage Data,Multivariate , ,"Categorical, Integer ",10104 ,72 
IPUMS Census Database,Multivariate , ,"Categorical, Integer ",256932 ,61 
Japanese Vowels,"Multivariate, Time-Series ",Classification ,Real ,640 ,12 
KDD Cup 1998 Data,Multivariate ,Regression ,"Categorical, Integer ",191779 ,481 
KDD Cup 1999 Data,Multivariate ,Classification ,"Categorical, Integer ",4000000 ,42 
M. Tuberculosis Genes,Relational , , , , 
Movie,"Multivariate, Relational ", , ,10000 , 
MSNBC.com Anonymous Web Data,Sequential , ,Categorical ,989818 , 
NSF Research Award Abstracts 1990-2003,Text , , ,129000 , 
Pioneer-1 Mobile Robot Data,"Multivariate, Time-Series ", ,"Categorical, Real ", , 
Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series ", , ,100000 , 
Reuters-21578 Text Categorization Collection,Text ,Classification ,Categorical ,21578 ,5 
Robot Execution Failures,"Multivariate, Time-Series ",Classification ,Integer ,463 ,90 
Synthetic Control Chart Time Series,Time-Series ,"Classification, Clustering ",Real ,600 , 
Syskill and Webert Web Page Ratings,"Multivariate, Text ",Classification ,Categorical ,332 ,5 
UNIX User Data,"Text, Sequential ", , , , 
Volcanoes on Venus - JARtool experiment,Image ,Classification , , , 
Statlog (Australian Credit Approval),Multivariate ,Classification ,"Categorical, Integer, Real ",690 ,14 
Statlog (German Credit Data),Multivariate ,Classification ,"Categorical, Integer ",1000 ,20 
Statlog (Heart),Multivariate ,Classification ,"Categorical, Real ",270 ,13 
Statlog (Landsat Satellite),Multivariate ,Classification ,Integer ,6435 ,36 
Statlog (Image Segmentation),Multivariate ,Classification ,Real ,2310 ,19 
Statlog (Shuttle),Multivariate ,Classification ,Integer ,58000 ,9 
Statlog (Vehicle Silhouettes),Multivariate ,Classification ,Integer ,946 ,18 
Connectionist Bench (Nettalk Corpus),Multivariate , ,Categorical ,20008 ,4 
"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate ,Classification ,Real ,208 ,60 
Connectionist Bench (Vowel Recognition - Deterding Data), ,Classification ,Real ,528 ,10 
Economic Sanctions,Domain-Theory , , , , 
Protein Data, , , , , 
Cloud,Multivariate , ,Real ,1024 ,10 
CalIt2 Building People Counts,"Multivariate, Time-Series ", ,"Categorical, Integer ",10080 ,4 
Dodgers Loop Sensor,"Multivariate, Time-Series ", ,"Categorical, Integer ",50400 ,3 
Poker Hand,Multivariate ,Classification ,"Categorical, Integer ",1025010 ,11 
MAGIC Gamma Telescope,Multivariate ,Classification ,Real ,19020 ,11 
UJI Pen Characters,"Multivariate, Sequential ",Classification ,Integer ,1364 , 
Mammographic Mass,Multivariate ,Classification ,Integer ,961 ,6 
Forest Fires,Multivariate ,Regression ,Real ,517 ,13 
Reuters Transcribed Subset,Text ,Classification , ,200 , 
Bag of Words,Text ,Clustering ,Integer ,8000000 ,100000 
Concrete Compressive Strength,Multivariate ,Regression ,Real ,1030 ,9 
Hill-Valley,Sequential ,Classification ,Real ,606 ,101 
Arcene,Multivariate ,Classification ,Real ,900 ,10000 
Dexter,Multivariate ,Classification ,Integer ,2600 ,20000 
Dorothea,Multivariate ,Classification ,Integer ,1950 ,100000 
Gisette,Multivariate ,Classification ,Integer ,13500 ,5000 
Madelon,Multivariate ,Classification ,Real ,4400 ,500 
Ozone Level Detection,"Multivariate, Sequential, Time-Series ",Classification ,Real ,2536 ,73 
Abscisic Acid Signaling Network,Multivariate ,Causal-Discovery ,Integer ,300 ,43 
Parkinsons,Multivariate ,Classification ,Real ,197 ,23 
Character Trajectories,Time-Series ,"Classification, Clustering ",Real ,2858 ,3 
Blood Transfusion Service Center,Multivariate ,Classification ,Real ,748 ,5 
UJI Pen Characters (Version 2),"Multivariate, Sequential ",Classification ,Integer ,11640 , 
Semeion Handwritten Digit,Multivariate ,Classification ,Integer ,1593 ,256 
SECOM,Multivariate ,"Classification, Causal-Discovery ",Real ,1567 ,591 
Plants,Multivariate ,Clustering ,Categorical ,22632 ,70 
Libras Movement,"Multivariate, Sequential ","Classification, Clustering ",Real ,360 ,91 
Concrete Slump Test,Multivariate ,Regression ,Real ,103 ,10 
Communities and Crime,Multivariate ,Regression ,Real ,1994 ,128 
Acute Inflammations,Multivariate ,Classification ,"Categorical, Integer ",120 ,6 
Wine Quality,Multivariate ,"Classification, Regression ",Real ,4898 ,12 
URL Reputation,"Multivariate, Time-Series ",Classification ,"Integer, Real ",2396130 ,3231961 
p53 Mutants,Multivariate ,Classification ,Real ,16772 ,5409 
Parkinsons Telemonitoring,Multivariate ,Regression ,"Integer, Real ",5875 ,26 
Demospongiae,Multivariate ,Classification ,Integer ,503 , 
Opinosis Opinion ⁄ Review,Text , , ,51 , 
Breast Tissue,Multivariate ,Classification ,Real ,106 ,10 
Cardiotocography,Multivariate ,Classification ,Real ,2126 ,23 
Wall-Following Robot Navigation Data,"Multivariate, Sequential ",Classification ,Real ,5456 ,24 
Spoken Arabic Digit,"Multivariate, Time-Series ",Classification ,Real ,8800 ,13 
Localization Data for Person Activity,"Univariate, Sequential, Time-Series ",Classification ,Real ,164860 ,8 
AutoUniv,Multivariate ,Classification ,"Categorical, Integer, Real ", , 
Steel Plates Faults,Multivariate ,Classification ,"Integer, Real ",1941 ,27 
MiniBooNE particle identification,Multivariate ,Classification ,Real ,130065 ,50 
YearPredictionMSD,Multivariate ,Regression ,Real ,515345 ,90 
PEMS-SF,"Multivariate, Time-Series ",Classification ,Real ,440 ,138672 
OpinRank Review Dataset,Text , , , , 
Relative location of CT slices on axial axis,Domain-Theory ,Regression ,Real ,53500 ,386 
Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential ",Classification ,Integer ,8235 , 
PubChem Bioassay Data,Multivariate ,Classification ,"Integer, Real ", , 
Record Linkage Comparison Patterns,Multivariate ,Classification ,Real ,5749132 ,12 
Communities and Crime Unnormalized,Multivariate ,Regression ,Real ,2215 ,147 
Vertebral Column,Multivariate ,Classification ,Real ,310 ,6 
EMG Physical Action Data Set,Time-Series ,Classification ,Real ,10000 ,8 
